[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21294, Task ID: mBackground_ID0000189, Core ID: 27 => read: mProject_ID0000016->mBackground_ID0000189, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21296, Task ID: mBackground_ID0000596, Core ID: 2 => read: mProject_ID0000423->mBackground_ID0000596, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21298, Task ID: mBackground_ID0000612, Core ID: 0 => read: mProject_ID0000439->mBackground_ID0000612, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21305, Task ID: mBackground_ID0000598, Core ID: 1 => read: mProject_ID0000425->mBackground_ID0000598, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21307, Task ID: mBackground_ID0000592, Core ID: 6 => read: mProject_ID0000419->mBackground_ID0000592, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21308, Task ID: mBackground_ID0000593, Core ID: 4 => read: mProject_ID0000420->mBackground_ID0000593, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21311, Task ID: mBackground_ID0000594, Core ID: 30 => read: mProject_ID0000421->mBackground_ID0000594, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21316, Task ID: mBackground_ID0000603, Core ID: 29 => read: mProject_ID0000430->mBackground_ID0000603, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 20714, Thread ID: 21322, Task ID: mBackground_ID0000607, Core ID: 0 => read: mProject_ID0000434->mBackground_ID0000607, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22332, Task ID: mDiffFit_ID0000561, Core ID: 3 => read: mProject_ID0000441->mDiffFit_ID0000561, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22339, Task ID: mDiffFit_ID0000459, Core ID: 30 => read: mProject_ID0000432->mDiffFit_ID0000459, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22352, Task ID: mDiffFit_ID0000557, Core ID: 4 => read: mProject_ID0000431->mDiffFit_ID0000557, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22370, Task ID: mDiffFit_ID0000566, Core ID: 1 => read: mProject_ID0000441->mDiffFit_ID0000566, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22373, Task ID: mDiffFit_ID0000530, Core ID: 0 => read: mProject_ID0000441->mDiffFit_ID0000530, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22373, Task ID: mDiffFit_ID0000530, Core ID: 0 => read: mProject_ID0000424->mDiffFit_ID0000530, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22405, Task ID: mDiffFit_ID0000446, Core ID: 7 => read: mProject_ID0000413->mDiffFit_ID0000446, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22412, Task ID: mDiffFit_ID0000456, Core ID: 6 => read: mProject_ID0000424->mDiffFit_ID0000456, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22421, Task ID: mDiffFit_ID0000449, Core ID: 2 => read: mProject_ID0000413->mDiffFit_ID0000449, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22425, Task ID: mDiffFit_ID0000478, Core ID: 29 => read: mProject_ID0000418->mDiffFit_ID0000478, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22429, Task ID: mDiffFit_ID0000519, Core ID: 5 => read: mProject_ID0000441->mDiffFit_ID0000519, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22433, Task ID: mDiffFit_ID0000503, Core ID: 0 => read: mProject_ID0000419->mDiffFit_ID0000503, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22434, Task ID: mDiffFit_ID0000476, Core ID: 27 => read: mProject_ID0000415->mDiffFit_ID0000476, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22436, Task ID: mDiffFit_ID0000532, Core ID: 24 => read: mProject_ID0000425->mDiffFit_ID0000532, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22437, Task ID: mDiffFit_ID0000466, Core ID: 4 => read: mProject_ID0000424->mDiffFit_ID0000466, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22438, Task ID: mDiffFit_ID0000501, Core ID: 31 => read: mProject_ID0000425->mDiffFit_ID0000501, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22440, Task ID: mDiffFit_ID0000525, Core ID: 30 => read: mProject_ID0000442->mDiffFit_ID0000525, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22444, Task ID: mDiffFit_ID0000481, Core ID: 28 => read: mProject_ID0000416->mDiffFit_ID0000481, payload (bytes): 8282880.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 21962, Thread ID: 22446, Task ID: mDiffFit_ID0000527, Core ID: 2 => read: mProject_ID0000431->mDiffFit_ID0000527, payload (bytes): 8265600.000000, checksum: 0, numa_locality_before_read: 1, numa_locality_after_read: 0, data (pages) migration: yes
